id,loc,build_type,roof_ht_in,modal_ht_in,drift_slight,drift_moderate,drift_extensive,drift_complete,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
97,low,PC1,180,135,0.004,0.0064,0.0161,0.0438,0.54,1,0.87,1.05,2.17,1.12,5.91,0.89
98,low,PC2L,240,180,0.004,0.0064,0.0161,0.0438,0.72,1.08,1.15,1.03,2.89,0.98,7.88,0.96
99,low,PC2M,600,450,0.0027,0.0043,0.0107,0.0292,1.2,0.81,1.92,0.79,4.81,0.84,13.12,0.99
100,low,PC2H,1440,864,0.002,0.0032,0.008,0.0219,1.73,0.71,2.77,0.75,6.93,0.89,18.9,0.98
101,low,RM1L,240,180,0.004,0.0064,0.0161,0.0438,0.72,1.11,1.15,1.1,2.89,1.1,7.88,0.92
102,low,RM1M,600,450,0.0027,0.0043,0.0107,0.0292,1.2,0.87,1.92,0.84,4.81,0.79,13.12,0.96
103,low,RM2L,240,180,0.004,0.0064,0.0161,0.0438,0.72,1.05,1.15,1.07,2.89,1.09,7.88,0.91
104,low,RM2M,600,450,0.0027,0.0043,0.0107,0.0292,1.2,0.84,1.92,0.81,4.81,0.77,13.12,0.96
105,low,RM2H,1440,864,0.002,0.0032,0.008,0.0219,1.73,0.69,2.77,0.72,6.93,0.87,18.9,0.96
106,low,URML,180,135,0.003,0.006,0.015,0.035,0.41,0.99,0.81,1.05,2.03,1.1,4.73,1.08
107,low,URMM,420,315,0.002,0.004,0.01,0.0233,0.63,0.91,1.26,0.92,3.15,0.87,7.35,0.91
108,low,MH,120,120,0.004,0.008,0.024,0.07,0.48,0.91,0.96,1,2.88,1.03,8.4,0.92
109,pre,W1,168,126,0.0032,0.0079,0.0245,0.06,0.4,1.01,1,1.05,3.09,1.07,7.56,1.06
110,pre,W2,288,216,0.0032,0.0079,0.0245,0.06,0.69,1.04,1.71,0.97,5.29,0.9,12.96,0.99
111,pre,S1L,288,216,0.0048,0.0076,0.0162,0.04,1.04,0.85,1.65,0.82,3.5,0.8,8.64,0.95
112,pre,S1M,720,540,0.0032,0.0051,0.0108,0.0267,1.73,0.7,2.76,0.75,5.84,0.81,14.4,0.98
113,pre,S1H,1872,1123,0.0024,0.0038,0.0081,0.02,2.7,0.69,4.3,0.71,9.11,0.85,22.46,0.93
114,pre,S2L,288,216,0.004,0.0064,0.016,0.04,0.86,1.01,1.38,0.96,3.46,0.88,8.64,0.98
115,pre,S2M,720,540,0.0027,0.0043,0.0107,0.0267,1.44,0.73,2.3,0.75,5.76,0.8,14.4,0.98
116,pre,S2H,1872,1123,0.002,0.0032,0.008,0.02,2.25,0.7,3.59,0.7,8.99,0.84,22.46,0.91
117,pre,S3,180,135,0.0032,0.0051,0.0128,0.035,0.43,1.06,0.69,1.03,1.73,1.07,4.73,0.89
118,pre,S4L,288,216,0.0032,0.0051,0.0128,0.035,0.69,1.11,1.11,1.03,2.77,0.99,7.56,0.98
119,pre,S4M,720,540,0.0021,0.0034,0.0086,0.0233,1.15,0.81,1.85,0.8,4.62,0.94,12.6,1
120,pre,S4H,1872,1123,0.0016,0.0026,0.0064,0.0175,1.8,0.73,2.88,0.75,7.21,0.9,19.66,0.97
121,pre,S5L,288,216,0.0024,0.0048,0.012,0.028,0.52,1.2,1.04,1.11,2.59,1.08,6.05,0.95
122,pre,S5M,720,540,0.0016,0.0032,0.008,0.0187,0.86,0.85,1.73,0.83,4.32,0.94,10.08,0.99
123,pre,S5H,1872,1123,0.0012,0.0024,0.006,0.014,1.35,0.72,2.7,0.75,6.74,0.92,15.72,0.96
124,pre,C1L,240,180,0.004,0.0064,0.016,0.04,0.72,0.98,1.15,0.94,2.88,0.9,7.2,0.97
125,pre,C1M,600,450,0.0027,0.0043,0.0107,0.0267,1.2,0.73,1.92,0.77,4.8,0.83,12,0.98
126,pre,C1H,1440,864,0.002,0.0032,0.008,0.02,1.73,0.71,2.76,0.8,6.91,0.94,17.28,1.01
127,pre,C2L,240,180,0.0032,0.0061,0.0158,0.04,0.58,1.11,1.1,1.09,2.84,1.07,7.2,0.93
128,pre,C2M,600,450,0.0021,0.0041,0.0105,0.0267,0.96,0.86,1.83,0.83,4.74,0.8,12,0.98
