id,loc,build_type,median_slight,median_moderate,median_extensive,median_complete,beta_slight,beta_moderate,beta_extensive,beta_complete
62,moderate,PC2L,0.18,0.25,0.4,0.74,0.64,0.64,0.64,0.64
63,moderate,PC2M,0.15,0.21,0.45,0.86,0.64,0.64,0.64,0.64
64,moderate,PC2H,0.12,0.19,0.46,0.9,0.64,0.64,0.64,0.64
65,moderate,RM1L,0.22,0.3,0.5,0.85,0.64,0.64,0.64,0.64
66,moderate,RM1M,0.18,0.26,0.51,1.03,0.64,0.64,0.64,0.64
67,moderate,RM2L,0.2,0.28,0.47,0.81,0.64,0.64,0.64,0.64
68,moderate,RM2M,0.16,0.23,0.48,0.99,0.64,0.64,0.64,0.64
69,moderate,RM2H,0.12,0.2,0.48,1.01,0.64,0.64,0.64,0.64
70,moderate,URML,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,moderate,URMM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,moderate,MH,0.11,0.18,0.31,0.6,0.64,0.64,0.64,0.64
73,low,W1,0.2,0.34,0.61,0.95,0.64,0.64,0.64,0.64
74,low,W2,0.14,0.23,0.48,0.75,0.64,0.64,0.64,0.64
75,low,S1L,0.12,0.17,0.3,0.48,0.64,0.64,0.64,0.64
76,low,S1M,0.12,0.18,0.29,0.49,0.64,0.64,0.64,0.64
77,low,S1H,0.1,0.15,0.28,0.48,0.64,0.64,0.64,0.64
78,low,S2L,0.13,0.17,0.3,0.5,0.64,0.64,0.64,0.64
79,low,S2M,0.12,0.18,0.35,0.58,0.64,0.64,0.64,0.64
80,low,S2H,0.11,0.17,0.36,0.63,0.64,0.64,0.64,0.64
81,low,S3,0.1,0.13,0.2,0.38,0.64,0.64,0.64,0.64
82,low,S4L,0.13,0.16,0.26,0.46,0.64,0.64,0.64,0.64
83,low,S4M,0.12,0.17,0.31,0.54,0.64,0.64,0.64,0.64
84,low,S4H,0.12,0.17,0.33,0.59,0.64,0.64,0.64,0.64
85,low,S5L,0.13,0.17,0.28,0.45,0.64,0.64,0.64,0.64
86,low,S5M,0.11,0.18,0.34,0.53,0.64,0.64,0.64,0.64
87,low,S5H,0.1,0.18,0.35,0.58,0.64,0.64,0.64,0.64
88,low,C1L,0.12,0.15,0.27,0.45,0.64,0.64,0.64,0.64
89,low,C1M,0.12,0.17,0.32,0.54,0.64,0.64,0.64,0.64
90,low,C1H,0.1,0.15,0.27,0.44,0.64,0.64,0.64,0.64
91,low,C2L,0.14,0.19,0.3,0.52,0.64,0.64,0.64,0.64
92,low,C2M,0.12,0.19,0.38,0.63,0.64,0.64,0.64,0.64
93,low,C2H,0.11,0.19,0.38,0.65,0.64,0.64,0.64,0.64
94,low,C3L,0.12,0.17,0.26,0.44,0.64,0.64,0.64,0.64
95,low,C3M,0.11,0.17,0.32,0.51,0.64,0.64,0.64,0.64
96,low,C3H,0.09,0.16,0.33,0.53,0.64,0.64,0.64,0.64
97,low,PC1,0.13,0.17,0.25,0.45,0.64,0.64,0.64,0.64
98,low,PC2L,0.13,0.15,0.24,0.44,0.64,0.64,0.64,0.64
99,low,PC2M,0.11,0.16,0.31,0.52,0.64,0.64,0.64,0.64
100,low,PC2H,0.11,0.16,0.31,0.55,0.64,0.64,0.64,0.64
101,low,RM1L,0.16,0.2,0.29,0.54,0.64,0.64,0.64,0.64
102,low,RM1M,0.14,0.19,0.35,0.63,0.64,0.64,0.64,0.64
103,low,RM2L,0.14,0.18,0.28,0.51,0.64,0.64,0.64,0.64
104,low,RM2M,0.12,0.17,0.34,0.6,0.64,0.64,0.64,0.64
105,low,RM2H,0.11,0.17,0.35,0.62,0.64,0.64,0.64,0.64
106,low,URML,0.14,0.2,0.32,0.46,0.64,0.64,0.64,0.64
107,low,URMM,0.1,0.16,0.27,0.46,0.64,0.64,0.64,0.64
108,low,MH,0.11,0.18,0.31,0.6,0.64,0.64,0.64,0.64
109,pre,W1,0.18,0.29,0.51,0.77,0.64,0.64,0.64,0.64
110,pre,W2,0.12,0.19,0.37,0.6,0.64,0.64,0.64,0.64
111,pre,S1L,0.09,0.13,0.22,0.38,0.64,0.64,0.64,0.64
112,pre,S1M,0.09,0.14,0.23,0.39,0.64,0.64,0.64,0.64
113,pre,S1H,0.08,0.12,0.22,0.38,0.64,0.64,0.64,0.64
114,pre,S2L,0.11,0.14,0.23,0.39,0.64,0.64,0.64,0.64
115,pre,S2M,0.1,0.14,0.28,0.47,0.64,0.64,0.64,0.64
116,pre,S2H,0.09,0.13,0.29,0.5,0.64,0.64,0.64,0.64
117,pre,S3,0.08,0.1,0.16,0.3,0.64,0.64,0.64,0.64
118,pre,S4L,0.1,0.13,0.2,0.36,0.64,0.64,0.64,0.64
119,pre,S4M,0.09,0.13,0.25,0.43,0.64,0.64,0.64,0.64
120,pre,S4H,0.09,0.14,0.27,0.47,0.64,0.64,0.64,0.64
121,pre,S5L,0.11,0.14,0.22,0.37,0.64,0.64,0.64,0.64
122,pre,S5M,0.09,0.14,0.28,0.43,0.64,0.64,0.64,0.64
123,pre,S5H,0.08,0.14,0.29,0.46,0.64,0.64,0.64,0.64
124,pre,C1L,0.1,0.12,0.21,0.36,0.64,0.64,0.64,0.64
125,pre,C1M,0.09,0.13,0.26,0.43,0.64,0.64,0.64,0.64
126,pre,C1H,0.08,0.12,0.21,0.35,0.64,0.64,0.64,0.64
127,pre,C2L,0.11,0.15,0.24,0.42,0.64,0.64,0.64,0.64
128,pre,C2M,0.1,0.15,0.3,0.5,0.64,0.64,0.64,0.64
129,pre,C2H,0.09,0.15,0.31,0.52,0.64,0.64,0.64,0.64
130,pre,C3L,0.1,0.14,0.21,0.35,0.64,0.64,0.64,0.64
131,pre,C3M,0.09,0.14,0.25,0.41,0.64,0.64,0.64,0.64
132,pre,C3H,0.08,0.13,0.27,0.43,0.64,0.64,0.64,0.64
133,pre,PC1,0.11,0.14,0.21,0.35,0.64,0.64,0.64,0.64
134,pre,PC2L,0.1,0.13,0.19,0.35,0.64,0.64,0.64,0.64
135,pre,PC2M,0.09,0.13,0.24,0.42,0.64,0.64,0.64,0.64
136,pre,PC2H,0.09,0.13,0.25,0.43,0.64,0.64,0.64,0.64
137,pre,RM1L,0.13,0.16,0.24,0.43,0.64,0.64,0.64,0.64
138,pre,RM1M,0.11,0.15,0.28,0.5,0.64,0.64,0.64,0.64
139,pre,RM2L,0.12,0.15,0.22,0.41,0.64,0.64,0.64,0.64
140,pre,RM2M,0.1,0.14,0.26,0.47,0.64,0.64,0.64,0.64
141,pre,RM2H,0.09,0.13,0.27,0.5,0.64,0.64,0.64,0.64
142,pre,URML,0.13,0.17,0.26,0.37,0.64,0.64,0.64,0.64
143,pre,URMM,0.09,0.13,0.21,0.38,0.64,0.64,0.64,0.64
144,pre,MH,0.08,0.11,0.18,0.34,0.64,0.64,0.64,0.64
